frame_index,filename,track_id,pixel_x,pixel_y,world_x,world_y,world_z,confidence
214,frame_00215.png,1,1491.571,813.204,-2.439965,-1.46183,-0.059251,0.747145
215,frame_00216.png,1,1487.833,814.556,-2.482519,-1.46183,-0.056887,0.680201
216,frame_00217.png,1,1482.095,814.939,-2.524816,-1.46183,-0.054723,0.849814
217,frame_00218.png,1,1478.811,813.916,-2.565871,-1.46183,-0.053172,0.81311
218,frame_00219.png,1,1473.043,816.15,-2.609097,-1.46183,-0.049831,0.778807
219,frame_00220.png,1,1466.933,818.047,-2.651597,-1.46183,-0.046923,0.866927
220,frame_00221.png,1,1461.579,819.047,-2.693967,-1.46183,-0.044648,0.894602
221,frame_00222.png,1,1456.634,819.023,-2.735782,-1.46183,-0.04264,0.884449
222,frame_00223.png,1,1452.58,819.614,-2.777915,-1.46183,-0.040098,0.866604
223,frame_00224.png,1,1447.447,820.683,-2.821097,-1.46183,-0.037736,0.760872
224,frame_00225.png,1,1443.373,821.468,-2.862051,-1.46183,-0.035546,0.856091
225,frame_00226.png,1,1438.46,822.429,-2.904375,-1.46183,-0.033002,0.86816
226,frame_00227.png,1,1433.312,822.446,-2.946762,-1.46183,-0.030554,0.886705
227,frame_00228.png,1,1429.176,823.796,-2.98889,-1.46183,-0.02818,0.882482
228,frame_00229.png,1,1425.42,824.876,-3.030857,-1.46183,-0.025359,0.796789
229,frame_00230.png,1,1420.158,824.875,-3.072949,-1.46183,-0.02334,0.813448
230,frame_00231.png,1,1414.393,825.385,-3.115067,-1.46183,-0.020884,0.812268
231,frame_00232.png,1,1409.795,825.881,-3.157648,-1.46183,-0.018662,0.781789
232,frame_00233.png,1,1406.717,826.944,-3.198883,-1.46183,-0.016241,0.841993
233,frame_00234.png,1,1402.218,827.927,-3.24114,-1.46183,-0.014123,0.87313
234,frame_00235.png,1,1397.123,827.931,-3.283115,-1.46183,-0.011768,0.819541
235,frame_00236.png,1,1392.435,828.201,-3.325137,-1.46183,-0.009499,0.771837
236,frame_00237.png,1,1387.406,830.438,-3.367807,-1.46183,-0.00662,0.860398
237,frame_00238.png,1,1382.385,831.529,-3.409688,-1.46183,-0.003909,0.805023
238,frame_00239.png,1,1378.264,831.158,-3.451002,-1.46183,-0.001618,0.858845
239,frame_00240.png,1,1373.464,833.396,-3.49368,-1.46183,0.001588,0.808425
240,frame_00241.png,1,1369.272,835.073,-3.535349,-1.46183,0.003887,0.814461
241,frame_00242.png,1,1365.932,835.34,-3.576938,-1.46183,0.006392,0.846853
242,frame_00243.png,1,1361.937,835.532,-3.617997,-1.46183,0.008342,0.829763
243,frame_00244.png,1,1355.981,836.333,-3.66127,-1.46183,0.010981,0.863779
244,frame_00245.png,1,1353.076,836.732,-3.702225,-1.46183,0.013492,0.84139
245,frame_00246.png,1,1347.243,836.875,-3.744677,-1.46183,0.015547,0.82901
246,frame_00247.png,1,1342.181,837.389,-3.786765,-1.46183,0.01807,0.819923
247,frame_00248.png,1,1338.345,839.173,-3.828449,-1.46183,0.020975,0.802022
248,frame_00249.png,1,1332.635,839.784,-3.870778,-1.46183,0.023265,0.835609
249,frame_00250.png,1,1330.579,839.761,-3.911548,-1.46183,0.025743,0.718291
250,frame_00251.png,1,1325.091,841.179,-3.953783,-1.46183,0.028024,0.778171
251,frame_00252.png,1,1320.165,842.338,-3.995938,-1.46183,0.030921,0.794887
252,frame_00253.png,1,1316.723,843.466,-4.038497,-1.46183,0.033926,0.774108
253,frame_00254.png,1,1311.19,844.02,-4.080117,-1.46183,0.036204,0.80169
254,frame_00255.png,1,1307.935,843.983,-4.121433,-1.46183,0.038486,0.811588
255,frame_00256.png,1,1304.3,844.841,-4.163336,-1.46183,0.040709,0.597881
256,frame_00257.png,1,1299.134,845.644,-4.205908,-1.46183,0.043153,0.772424
257,frame_00258.png,1,1295.354,846.741,-4.247762,-1.46183,0.045776,0.793081
258,frame_00259.png,1,1290.271,847.545,-4.289663,-1.46183,0.048002,0.804714
259,frame_00260.png,1,1285.533,847.903,-4.331917,-1.46183,0.050408,0.850266
260,frame_00261.png,1,1281.222,848.346,-4.374052,-1.46183,0.052836,0.806956
261,frame_00262.png,1,1276.954,848.341,-4.415338,-1.46183,0.054965,0.789505
262,frame_00263.png,1,1273.737,848.378,-4.457028,-1.46183,0.057221,0.80457
263,frame_00264.png,1,1268.27,848.929,-4.499222,-1.46183,0.059898,0.685959
264,frame_00265.png,1,1264.322,850.527,-4.541715,-1.46183,0.062262,0.775177
265,frame_00266.png,1,1259.567,851.371,-4.584155,-1.46183,0.06469,0.768828
266,frame_00267.png,1,1256.013,852.689,-4.625098,-1.46183,0.067337,0.85463
267,frame_00268.png,1,1252.814,852.617,-4.666662,-1.46183,0.069481,0.852405
268,frame_00269.png,1,1248.437,852.87,-4.708682,-1.46183,0.0718,0.861491
269,frame_00270.png,1,1244.462,852.345,-4.750607,-1.46183,0.073479,0.853014
270,frame_00271.png,1,1241.286,851.222,-4.79201,-1.46183,0.075359,0.805612
271,frame_00272.png,1,1236.086,852.495,-4.834058,-1.46183,0.078147,0.845337
272,frame_00273.png,1,1232.266,852.774,-4.87582,-1.46183,0.080204,0.833169
273,frame_00274.png,1,1228.742,853.593,-4.918123,-1.46183,0.082715,0.846583
274,frame_00275.png,1,1224.17,854.119,-4.959921,-1.46183,0.08508,0.80961
275,frame_00276.png,1,1220.209,854.736,-5.001641,-1.46183,0.08724,0.808588
276,frame_00277.png,1,1215.83,856.976,-5.043675,-1.46183,0.09009,0.593692
277,frame_00278.png,1,1210.66,857.825,-5.086606,-1.46183,0.092195,0.784875
278,frame_00279.png,1,1206.952,858.384,-5.127812,-1.46183,0.094441,0.880205
279,frame_00280.png,1,1203.243,858.304,-5.169489,-1.46183,0.096523,0.852201
280,frame_00281.png,1,1197.462,858.204,-5.212046,-1.46183,0.098483,0.852839
281,frame_00282.png,1,1193.806,858.387,-5.253798,-1.46183,0.100248,0.816651
282,frame_00283.png,1,1190.25,858.222,-5.295823,-1.46183,0.1026,0.815281
283,frame_00284.png,1,1185.97,859.13,-5.337171,-1.46183,0.104807,0.840052
284,frame_00285.png,1,1182.293,860.475,-5.379274,-1.46183,0.107348,0.835352
285,frame_00286.png,1,1177.391,862.081,-5.421914,-1.46183,0.109846,0.563469
286,frame_00287.png,1,1174.052,861.843,-5.463379,-1.46183,0.112006,0.826788
287,frame_00288.png,1,1170.212,863.843,-5.505126,-1.46183,0.114514,0.765467
288,frame_00289.png,1,1166.753,865.718,-5.547555,-1.46183,0.116876,0.518965
289,frame_00290.png,1,1163.045,865.139,-5.589683,-1.46183,0.11879,0.790511
290,frame_00291.png,1,1158.32,865.395,-5.631211,-1.46183,0.121194,0.784803
291,frame_00292.png,1,1154.556,867.153,-5.673599,-1.46183,0.123542,0.808955
292,frame_00293.png,1,1149.989,868.241,-5.715019,-1.46183,0.126112,0.640115
293,frame_00294.png,1,1146.483,868.641,-5.757174,-1.46183,0.128097,0.782213
294,frame_00295.png,1,1143.247,869.452,-5.798762,-1.46183,0.13053,0.83785
295,frame_00296.png,1,1140.603,869.618,-5.840623,-1.46183,0.132516,0.688039
296,frame_00297.png,1,1134.833,870.307,-5.882742,-1.46183,0.135081,0.685237
297,frame_00298.png,1,1130.814,870.568,-5.924935,-1.46183,0.136962,0.813342
298,frame_00299.png,1,1126.291,871.571,-5.967144,-1.46183,0.139345,0.632675
299,frame_00300.png,1,1124.458,871.334,-6.008119,-1.46183,0.141552,0.766741
300,frame_00301.png,1,1120.303,872.166,-6.05098,-1.46183,0.143694,0.77387
301,frame_00302.png,1,1117.406,873.157,-6.092652,-1.46183,0.145793,0.835693
302,frame_00303.png,1,1113.061,873.017,-6.134765,-1.46183,0.147632,0.834692
303,frame_00304.png,1,1111.568,873.712,-6.175922,-1.46183,0.150555,0.724433
304,frame_00305.png,1,1108.36,873.984,-6.217492,-1.46183,0.15199,0.74643
305,frame_00306.png,1,1105.16,873.029,-6.259549,-1.46183,0.153925,0.775403
306,frame_00307.png,1,1101.481,872.774,-6.301803,-1.46183,0.155957,0.752907
307,frame_00308.png,1,1097.628,873.209,-6.342934,-1.46183,0.15816,0.683504
308,frame_00309.png,1,1094.891,874.133,-6.385038,-1.46183,0.160574,0.668309
309,frame_00310.png,1,1092.212,874.966,-6.426298,-1.46183,0.162373,0.734265
310,frame_00311.png,1,1090.3,876.684,-6.468022,-1.46183,0.16509,0.534505
311,frame_00312.png,1,1086.975,876.298,-6.509627,-1.46183,0.167,0.661489
312,frame_00313.png,1,1083.831,876.5,-6.551383,-1.46183,0.169376,0.740034
313,frame_00314.png,1,1081.299,876.831,-6.592585,-1.46183,0.171322,0.725015
314,frame_00315.png,1,1077.657,877.277,-6.635026,-1.46183,0.173627,0.580252
